mother,stepdaughter,category_for_map,,name,place,,country,address,Latitude,Longitude
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Усіх Святих Британії та Ірландії,Бірмінгем,http://www.sourozh.org/,Великобританія,"141 Hagley Rd, Edgbaston, Birmingham B16 8UE",52.47202309999999,-1.9290134
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парфія Усіх святих Уельських,Бленау Ффестініог,http://www.sourozh.org/,Великобританія,"Manod Rd, Blaenau Ffestiniog LL41 4AF",52.9842339,-3.9296073
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Благовіщення Матері Божої,Данді,http://www.sourozh.org/,Великобританія,"Chaplaincy Centre, University of Dundee, Cross Row, Dundee, DD1 4HN",56.45801760000001,-2.9815929
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Єпархіальна громада в Іпсвічі,Іспвіч,http://www.sourozh.org/,Великобританія,"St Mary at the Elms, Elm Street, Ipswich IP1 2AB",52.0570613,1.1499808
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Єпархіальна громада в Кінгс Лінн,Кінгс Лінн,http://www.sourozh.org/,Великобританія,"St Margaret’s Minster, St Margaret’s Place, King’s Lynn, Norfolk, PE30 5DL",52.751664,0.3956502
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Єпархіальна громада в Ньюрі,Ньюрі,http://www.sourozh.org/,Великобританія,"Hall for All, 33 Downshire Rd, Newry, BT34 1EE",54.1817285,-6.3322229
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Єпархіальна громада в Танбрідж-Уеллс-Кент,Танбрідж-Уеллс-Кент,http://www.sourozh.org/,Великобританія,"St Luke’s Church, St Luke’s Road, Tunbridge Wells, TN4 9JH",51.14486340000001,0.2688776
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Єпархіальна громада Базілдон,Базілдон,http://www.sourozh.org/,Великобританія,"St Nicholas Church Church Hill, Basildon, Essex, SS15 5RX",51.5791587,0.4356882
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Єпархіальна громада Святого Седда,Саутгейт,http://www.sourozh.org/,Великобританія,"Southgate Methodist Church, 45 The Bourne, Southgate, N14 6RS",51.6317706,-0.1240045
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Пресвятої Трійці в Брістолі,Брістоль,http://www.sourozh.org/,Великобританія,"St John Fisher Church, 56 Begbrook Park, Frenchay, Bristol BS16 1NF",51.4944382,-2.5271029
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Матері Божої Живоносного Джерела м. Волсінгема,Волсінгем,http://www.sourozh.org/,Великобританія,"Pan-Orthodox Chapel at the  Shrine of Our Lady of Walsingham, Little Walsingham, Norfolk NR22 6EF",52.8946704,0.8759113
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Різдва Господнього в Кінгстон-апон-Хілл,Кінгстон-апон-Хілл,http://www.sourozh.org/,Великобританія,"Saint Charles Borromeo, 12 Jarratt Street, Kingston-upon-Hull, HU1 3HB",53.7468654,-0.3389426
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія на честь Єрусалимської ікони Божої Матері,Брайтон,http://www.sourozh.org/,Великобританія,"St Richard Hollingdean Community Hall, 9 Beal Crescent, Brighton, East Sussex, BN1 7BU",50.8431046,-0.1268786
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святого Миколая,Лондон,http://www.sourozh.org/,Великобританія,"69 Watling St, London EC4N 4SJ",51.5129946,-0.0933777
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Стрітення Господнього у Бредфорді,Бредфорд,http://www.sourozh.org/,Великобританія,"98 Little Horton Lane, Bradford BD5 0JG",53.7857885,-1.7599148
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Покрова Пресвятої Богородиці (Покров),Манчестер,http://www.sourozh.org/,Великобританія,"64 Clarence Road, Longsight, Manchester M13 0YE",53.4573994,-2.2068221
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія св. Ейдана та св. Діти в Ноттінгемі,Ноттінгем,http://www.sourozh.org/,Великобританія,"Carlton Road, Carlton, Nottingham NG4 1EE",52.9638334,-1.1174087
